Date;Volume
29.11.2019;93747412.5
28.11.2019;NA
27.11.2019;315744000
26.11.2019;211220000
25.11.2019;356085750
24.11.2019;NA
22.11.2019;371507500
21.11.2019;220836750
20.11.2019;158079875
19.11.2019;122732750
18.11.2019;167550000
17.11.2019;NA
15.11.2019;176146250
14.11.2019;102258000
13.11.2019;93280000
12.11.2019;155933750
11.11.2019;161542500
10.11.2019;NA
08.11.2019;248491125
07.11.2019;154753500
06.11.2019;64270125
05.11.2019;136080000
04.11.2019;162451875
03.11.2019;NA
01.11.2019;121869000
31.10.2019;96819250
30.10.2019;166938750
29.10.2019;143640000
28.10.2019;311045250
27.10.2019;NA
25.10.2019;21179900
24.10.2019;119652750
23.10.2019;224380875
22.10.2019;100419375
21.10.2019;149786000
20.10.2019;NA
18.10.2019;136613125
17.10.2019;103425750
16.10.2019;148522500
15.10.2019;113506250
14.10.2019;73499250
13.10.2019;NA
11.10.2019;175008750
10.10.2019;116960000
09.10.2019;198594000
08.10.2019;93651000
07.10.2019;233439750
06.10.2019;NA
04.10.2019;81540250
03.10.2019;106070250
02.10.2019;77190000
01.10.2019;147662250
30.09.2019;204491250
29.09.2019;NA
27.09.2019;18100687.5
26.09.2019;223660500
25.09.2019;247641000
24.09.2019;477798750
23.09.2019;231686250
22.09.2019;NA
20.09.2019;122010000
19.09.2019;222099500
18.09.2019;80797250
17.09.2019;81409500
16.09.2019;118214250
15.09.2019;NA
13.09.2019;149364000
12.09.2019;159417500
11.09.2019;178882750
10.09.2019;173570000
09.09.2019;207035500
08.09.2019;NA
06.09.2019;356505500
05.09.2019;193270375
04.09.2019;200493750
03.09.2019;371739750
02.09.2019;NA
01.09.2019;NA
30.08.2019;17175600
29.08.2019;199200000
28.08.2019;281583875
27.08.2019;187300500
26.08.2019;213271000
25.08.2019;NA
23.08.2019;171519500
22.08.2019;200227500
21.08.2019;263194750
20.08.2019;137856000
19.08.2019;140383750
18.08.2019;NA
16.08.2019;274509375
15.08.2019;377354250
14.08.2019;317404500
13.08.2019;232918750
12.08.2019;106300125
11.08.2019;NA
09.08.2019;209440000
08.08.2019;144372375
07.08.2019;294736750
06.08.2019;226266375
05.08.2019;233821500
04.08.2019;NA
02.08.2019;143066250
01.08.2019;96867000
31.07.2019;109120000
30.07.2019;114835000
29.07.2019;146630875
28.07.2019;NA
26.07.2019;45168550
25.07.2019;191538750
24.07.2019;278119750
23.07.2019;188559000
22.07.2019;271113750
21.07.2019;NA
19.07.2019;247866250
18.07.2019;433478125
17.07.2019;391749000
16.07.2019;437626750
15.07.2019;415245000
14.07.2019;NA
12.07.2019;194334000
11.07.2019;573833000
10.07.2019;666272250
09.07.2019;406536750
08.07.2019;236536875
07.07.2019;NA
05.07.2019;498663000
04.07.2019;NA
03.07.2019;376750500
02.07.2019;372268125
01.07.2019;534419000
30.06.2019;NA
28.06.2019;22063080
27.06.2019;1358677125
26.06.2019;1354721625
25.06.2019;579988125
24.06.2019;541282500
23.06.2019;NA
21.06.2019;338503625
20.06.2019;253389375
19.06.2019;101176500
18.06.2019;310926000
17.06.2019;319559625
16.06.2019;NA
14.06.2019;87386000
13.06.2019;85618000
12.06.2019;158428125
11.06.2019;100965000
10.06.2019;127832750
09.06.2019;NA
07.06.2019;115551875
06.06.2019;168521125
05.06.2019;109440000
04.06.2019;476648250
03.06.2019;201492000
02.06.2019;NA
31.05.2019;NA
30.05.2019;494640000
29.05.2019;510406000
28.05.2019;805301875
27.05.2019;NA
26.05.2019;NA
24.05.2019;477900000
23.05.2019;425725125
22.05.2019;432658500
21.05.2019;313436750
20.05.2019;605150000
19.05.2019;NA
17.05.2019;584766000
16.05.2019;801795500
15.05.2019;537741000
14.05.2019;1049855625
13.05.2019;1186482500
12.05.2019;NA
10.05.2019;306005000
09.05.2019;208577250
08.05.2019;206826750
07.05.2019;291222625
06.05.2019;203196000
05.05.2019;NA
03.05.2019;365809500
02.05.2019;121428125
01.05.2019;93895000
30.04.2019;106033250
29.04.2019;87509250
28.04.2019;NA
26.04.2019;34063417.5
25.04.2019;96730500
24.04.2019;305390875
23.04.2019;291235000
22.04.2019;261415000
21.04.2019;NA
19.04.2019;NA
18.04.2019;169715625
17.04.2019;175037500
16.04.2019;173910000
15.04.2019;255024000
14.04.2019;NA
12.04.2019;200133375
11.04.2019;292315625
10.04.2019;208446000
09.04.2019;235686750
08.04.2019;419409375
07.04.2019;NA
05.04.2019;237924500
04.04.2019;547222500
03.04.2019;401388000
02.04.2019;232551000
01.04.2019;39021250
31.03.2019;NA
29.03.2019;11721800
28.03.2019;37894500
27.03.2019;81275250
26.03.2019;38950000
25.03.2019;47356500
24.03.2019;NA
22.03.2019;33787500
21.03.2019;75211500
20.03.2019;51200000
19.03.2019;46396125
18.03.2019;54682500
17.03.2019;NA
15.03.2019;56962500
14.03.2019;85687750
13.03.2019;40617500
12.03.2019;56906000
11.03.2019;68322000
10.03.2019;NA
08.03.2019;73662750
07.03.2019;78988125
06.03.2019;78668750
05.03.2019;93311750
04.03.2019;85531500
03.03.2019;NA
01.03.2019;34792875
28.02.2019;127490625
27.02.2019;90629000
26.02.2019;58176500
25.02.2019;111383250
24.02.2019;NA
22.02.2019;7620405
21.02.2019;106088625
20.02.2019;102573375
19.02.2019;300269750
18.02.2019;NA
17.02.2019;NA
15.02.2019;46345000
14.02.2019;37842000
13.02.2019;50193625
12.02.2019;70920000
11.02.2019;91630500
10.02.2019;NA
08.02.2019;171861375
07.02.2019;28912625
06.02.2019;63740250
05.02.2019;26650750
04.02.2019;49965625
03.02.2019;NA
01.02.2019;79847250
31.01.2019;69342625
30.01.2019;56021750
29.01.2019;41374375
28.01.2019;74656875
27.01.2019;NA
25.01.2019;8722000
24.01.2019;49592250
23.01.2019;89586000
22.01.2019;119541625
21.01.2019;NA
20.01.2019;NA
18.01.2019;48060000
17.01.2019;63857500
16.01.2019;73055250
15.01.2019;68077875
14.01.2019;78361500
13.01.2019;NA
11.01.2019;76329250
10.01.2019;109060000
09.01.2019;73416000
08.01.2019;83035125
07.01.2019;55027500
06.01.2019;NA
04.01.2019;73500000
03.01.2019;68870500
02.01.2019;60966250
01.01.2019;NA
31.12.2018;36505000
30.12.2018;NA
28.12.2018;11629760
27.12.2018;62602500
26.12.2018;51803125
25.12.2018;NA
24.12.2018;48521000
23.12.2018;NA
21.12.2018;109800750
20.12.2018;91166250
19.12.2018;90562500
18.12.2018;59593500
17.12.2018;68945250
16.12.2018;NA
14.12.2018;48647500
13.12.2018;62795000
12.12.2018;45156375
11.12.2018;33332500
10.12.2018;32976000
07.12.2018;104500000
06.12.2018;104869750
05.12.2018;52245375
04.12.2018;59249250
03.12.2018;66670500
02.12.2018;NA
30.11.2018;14702400
29.11.2018;106990625
28.11.2018;137327750
27.11.2018;112715375
26.11.2018;168432500
25.11.2018;NA
23.11.2018;111046875
22.11.2018;NA
21.11.2018;140937000
20.11.2018;288033500
19.11.2018;292480500
18.11.2018;NA
16.11.2018;93066750
15.11.2018;235922625
14.11.2018;260489250
13.11.2018;79695000
12.11.2018;63075000
11.11.2018;NA
09.11.2018;91692000
08.11.2018;142766000
07.11.2018;137811000
06.11.2018;97676250
05.11.2018;74821500
04.11.2018;NA
02.11.2018;52305000
01.11.2018;36884250
31.10.2018;99145000
