Date;BITFINEX;BITSTAMP;HITBTC;COINBASE;BINANCE
16.09.2018;48416195,5316;7141060,4194;63156306,8339;22878181,4887;179330704,4950
17.09.2018;136896360,9644;27437877,0126;76467767,2858;58353095,9205;224873198,8088
18.09.2018;100611733,0483;26573494,7745;63838039,0999;38884522,0685;206700490,6111
19.09.2018;157967321,9917;46201441,4651;80982215,4969;68685771,8929;249565465,0353
20.09.2018;93846758,0513;33618346,1064;73570027,7553;44280435,7784;163527148,5342
21.09.2018;237949835,0639;57842691,1518;86548542,3042;76893996,7555;349977618,0533
22.09.2018;102887776,8188;36850096,7560;91746525,8734;35654736,4758;197319437,8388
23.09.2018;57039216,7862;21774205,3063;95081564,9185;23483077,1466;203160029,3173
24.09.2018;114995989,0333;26528301,2826;107158819,0622;36610912,3820;232360843,5863
25.09.2018;128968604,6625;52760258,6574;87727574,1834;61369307,0474;259842499,4329
26.09.2018;84121632,3047;27758173,5984;74701031,2335;38153234,6042;216481582,6276
27.09.2018;115566470,7830;37850389,1719;63070393,4088;52630957,5166;221326109,2443
28.09.2018;182853844,9355;50519754,2553;87057954,9272;59839124,5205;281302533,1817
29.09.2018;110571993,5856;22251567,9176;74766444,8184;28771575,5720;199574221,7962
30.09.2018;54717292,5552;16380350,3936;91015548,9470;24430052,6478;183984890,5559
01.10.2018;67555997,8265;31481477,2096;73414254,0726;46974772,2405;136341361,1954
02.10.2018;76759784,6710;26754867,2572;97581423,5147;35377852,5520;184326225,0142
03.10.2018;92052995,5526;30829548,3146;64363527,7166;40505924,5510;185222319,0884
04.10.2018;74121055,0222;25094836,4147;67119694,9254;43716032,6436;132365723,9907
05.10.2018;82611443,4655;25059903,2852;81630337,8664;35259540,8297;106811087,8800
06.10.2018;38247258,6531;13237239,1099;81669014,5797;17857052,2838;72138052,2147
07.10.2018;38410988,4337;16152400,4618;58113859,9976;17249523,2389;115150717,8819
08.10.2018;84705125,3677;26941067,5057;78808083,8800;35999942,5665;154302809,8313
09.10.2018;53696168,4254;14857416,3363;59036194,6986;30185813,1315;102210778,5611
10.10.2018;91605500,4260;33741791,4588;57997467,9032;41676749,1358;102055476,0352
11.10.2018;260063898,2744;59166414,2598;96702160,6278;127527288,3653;304583051,3079
12.10.2018;65379527,8273;20079356,8885;71473472,6375;34495973,8030;182667931,8376
13.10.2018;36800209,7083;12114484,4423;61621696,9830;23810356,1669;120946740,6034
14.10.2018;71105899,4829;15616639,2958;91824392,4500;23269204,6625;99067473,6393
15.10.2018;572323664,3045;108838925,9642;149569275,8861;138058534,9883;612776080,9886
16.10.2018;105698544,4925;30387101,1362;99622587,2755;65094070,1031;186271677,1755
17.10.2018;59737632,6844;19062511,1078;68582879,9108;35487173,9230;179586958,3684
18.10.2018;82848131,4545;24453678,9175;77001014,2115;46121757,8299;133150454,0666
19.10.2018;73269582,4540;14618500,0988;64818441,9610;24360587,8857;135621817,7152
20.10.2018;30564935,0885;8092891,4146;76988621,2760;21973354,9346;126765574,4521
21.10.2018;29121720,0255;9883092,4460;69531537,0950;16756935,8868;42936924,5386
22.10.2018;39851580,1789;15422816,6204;80598850,6373;25661523,4907;106705554,1340
23.10.2018;58034260,1733;18227647,4994;67878972,0560;25814751,0789;90809378,1740
24.10.2018;55768958,8425;22668446,4083;67529950,8948;33323913,6250;78467861,9810
25.10.2018;56862677,7445;19478552,8317;48357976,6920;23965804,5486;67518084,5639
26.10.2018;48472812,3611;21292763,7745;51875587,7580;26483561,3839;61747579,5795
27.10.2018;45299162,4574;5703632,1782;55266959,6700;14951140,6739;50593451,8000
28.10.2018;44356954,5191;5376179,9423;53971888,7232;13716639,2409;37277727,8194
29.10.2018;123895246,8410;32528389,9733;63420410,5056;43780515,4653;87726823,0931
30.10.2018;67979040,7076;15821467,7503;59483727,5616;25703997,2132;56200243,3296
31.10.2018;63412291,0818;32449754,7583;44640793,5016;32966102,5142;77411865,2902
01.11.2018;58669232,9713;13892921,8840;55168105,8762;28490764,3101;58324819,7408
02.11.2018;51892048,2804;17006892,7740;62555545,4800;26560296,0246;62663366,5399
03.11.2018;73060776,2796;6868018,1547;56754273,8152;16291709,2292;48933038,8189
04.11.2018;58384093,7415;17170591,2403;51796396,1295;26051340,5871;68700684,7411
05.11.2018;31142818,3573;14954600,9541;47313425,4645;26183822,7833;58142519,7883
06.11.2018;47703729,2440;27532982,3342;62941307,8140;35546371,2273;77750593,7140
07.11.2018;70478018,8442;31197233,1442;70282282,7512;37932283,9291;93885091,2995
08.11.2018;75176760,9823;25410406,0855;84149029,8468;34182484,4044;85921312,9811
09.11.2018;67033865,8474;20354666,0898;62172085,8730;29065845,9747;75676380,5867
10.11.2018;20907863,0643;9672515,0394;55074482,4566;15371064,3526;49629886,6555
